slug,winner,entered,side,price,t,predicted_ev,pnl_per_share,correct,threshold
btc-updown-5m-1776087300,Down,True,Up,0.45,30.0,0.027703195810317993,-0.45,False,0.000
btc-updown-5m-1776087600,Up,True,Up,0.84,30.0,0.04297841712832451,0.16000000000000003,True,0.000
btc-updown-5m-1776087900,Up,True,Up,0.43,30.0,0.010677585378289223,0.5700000000000001,True,0.000
btc-updown-5m-1776088200,Down,True,Up,0.44,30.0,0.01740664802491665,-0.44,False,0.000
btc-updown-5m-1776088500,Up,True,Up,0.41,30.0,0.01660960353910923,0.5900000000000001,True,0.000
btc-updown-5m-1776088800,Down,True,Up,0.51,30.0,0.0266148429363966,-0.51,False,0.000
btc-updown-5m-1776089100,Down,True,Up,0.66,30.0,0.03530081734061241,-0.66,False,0.000
btc-updown-5m-1776089400,Up,True,Up,0.57,30.0,0.027538785710930824,0.43000000000000005,True,0.000
btc-updown-5m-1776089700,Down,True,Up,0.6,30.0,0.009245599620044231,-0.6,False,0.000
btc-updown-5m-1776090000,Up,True,Up,0.62,30.0,0.02852918766438961,0.38,True,0.000
btc-updown-5m-1776090300,Up,True,Up,0.34,35.0,0.0013564766850322485,0.6599999999999999,True,0.000
btc-updown-5m-1776090600,Up,True,Up,0.63,30.0,0.02852918766438961,0.37,True,0.000
btc-updown-5m-1776090900,Up,True,Up,0.5,30.0,0.04497532919049263,0.5,True,0.000
btc-updown-5m-1776091200,Up,True,Up,0.41,30.0,0.025937482714653015,0.5900000000000001,True,0.000
btc-updown-5m-1776091500,Down,True,Up,0.53,30.0,0.03697862848639488,-0.53,False,0.000
btc-updown-5m-1776091800,Up,True,Up,0.41,30.0,0.06939251720905304,0.5900000000000001,True,0.000
btc-updown-5m-1776092100,Up,True,Up,0.39,31.0,0.0074485233053565025,0.61,True,0.000
btc-updown-5m-1776092400,Down,True,Up,0.45,30.0,0.06789873540401459,-0.45,False,0.000
btc-updown-5m-1776092700,Down,True,Up,0.73,30.0,0.04085725545883179,-0.73,False,0.000
btc-updown-5m-1776093000,Down,True,Up,0.4,30.0,0.015217918902635574,-0.4,False,0.000
btc-updown-5m-1776093300,Down,True,Up,0.51,30.0,0.019678711891174316,-0.51,False,0.000
btc-updown-5m-1776093600,Up,True,Up,0.73,30.0,0.04085725545883179,0.27,True,0.000
btc-updown-5m-1776093900,Up,True,Up,0.53,31.0,0.0086464062333107,0.47,True,0.000
btc-updown-5m-1776094200,Down,True,Up,0.27,30.0,0.008532630279660225,-0.27,False,0.000
btc-updown-5m-1776094800,Up,True,Up,0.58,30.0,0.0009205735404975712,0.42000000000000004,True,0.000
btc-updown-5m-1776095100,Down,True,Up,0.41,30.0,0.036893460899591446,-0.41,False,0.000
btc-updown-5m-1776095400,Down,True,Up,0.55,30.0,0.016997080296278,-0.55,False,0.000
btc-updown-5m-1776095700,Up,True,Up,0.78,30.0,0.04085725545883179,0.21999999999999997,True,0.000
btc-updown-5m-1776096000,Down,True,Up,0.52,30.0,0.030055377632379532,-0.52,False,0.000
btc-updown-5m-1776096300,Up,True,Up,0.26,30.0,0.01115158200263977,0.74,True,0.000
btc-updown-5m-1776096600,Up,True,Up,0.57,30.0,0.04373174160718918,0.43000000000000005,True,0.000
btc-updown-5m-1776096900,Up,True,Up,0.31,30.0,0.044413380324840546,0.69,True,0.000
btc-updown-5m-1776097200,Up,True,Up,0.54,30.0,0.013345188461244106,0.45999999999999996,True,0.000
btc-updown-5m-1776097500,Up,True,Up,0.56,30.0,0.013345188461244106,0.43999999999999995,True,0.000
btc-updown-5m-1776098100,Up,True,Up,0.41,30.0,0.045888565480709076,0.5900000000000001,True,0.000
btc-updown-5m-1776098400,Up,True,Up,0.56,30.0,0.013345188461244106,0.43999999999999995,True,0.000
btc-updown-5m-1776098700,Up,True,Up,0.47,30.0,0.051733680069446564,0.53,True,0.000
btc-updown-5m-1776099000,Down,True,Up,0.43,30.0,0.07061751186847687,-0.43,False,0.000
btc-updown-5m-1776099300,Up,True,Up,0.55,30.0,0.013345188461244106,0.44999999999999996,True,0.000
btc-updown-5m-1776099600,Up,True,Down,0.58,32.0,0.004182000644505024,-0.58,False,0.000
btc-updown-5m-1776099900,Up,True,Up,0.32,30.0,0.008532630279660225,0.6799999999999999,True,0.000
btc-updown-5m-1776100200,Up,True,Up,0.73,30.0,0.036291223019361496,0.27,True,0.000
btc-updown-5m-1776100500,Up,True,Up,0.41,30.0,0.04881206899881363,0.5900000000000001,True,0.000
btc-updown-5m-1776100800,Down,True,Up,0.3,30.0,0.015152668580412865,-0.3,False,0.000
btc-updown-5m-1776101100,Up,True,Up,0.53,30.0,0.008059096522629261,0.47,True,0.000
btc-updown-5m-1776101400,Up,True,Up,0.84,30.0,0.043968819081783295,0.16000000000000003,True,0.000
btc-updown-5m-1776101700,Down,True,Up,0.28,30.0,0.01394499372690916,-0.28,False,0.000
btc-updown-5m-1776102000,Up,True,Up,0.53,30.0,0.026973774656653404,0.47,True,0.000
btc-updown-5m-1776102300,Down,True,Up,0.62,30.0,0.02852918766438961,-0.62,False,0.000
btc-updown-5m-1776102600,Down,True,Up,0.22,30.0,0.008532630279660225,-0.22,False,0.000
btc-updown-5m-1776102900,Down,True,Up,0.39,30.0,0.027703195810317993,-0.39,False,0.000
btc-updown-5m-1776103200,Up,True,Up,0.4,30.0,0.045554857701063156,0.6,True,0.000
btc-updown-5m-1776103500,Up,True,Up,0.54,30.0,0.03330833092331886,0.45999999999999996,True,0.000
btc-updown-5m-1776103800,Up,True,Up,0.63,30.0,0.020361926406621933,0.37,True,0.000
btc-updown-5m-1776104100,Up,True,Up,0.53,30.0,0.023776326328516006,0.47,True,0.000
btc-updown-5m-1776104400,Down,True,Up,0.39,30.0,0.015152668580412865,-0.39,False,0.000
btc-updown-5m-1776104700,Up,True,Up,0.56,30.0,0.013345188461244106,0.43999999999999995,True,0.000
btc-updown-5m-1776105000,Up,True,Up,0.61,30.0,0.009245599620044231,0.39,True,0.000
btc-updown-5m-1776105300,Down,True,Up,0.52,34.0,0.009471623227000237,-0.52,False,0.000
btc-updown-5m-1776105600,Up,True,Down,0.56,30.0,0.006502216681838036,-0.56,False,0.000
btc-updown-5m-1776105900,Down,True,Up,0.6,30.0,0.013345188461244106,-0.6,False,0.000
btc-updown-5m-1776106200,Up,True,Up,0.45,30.0,0.04935523867607117,0.55,True,0.000
btc-updown-5m-1776106500,Up,True,Up,0.56,30.0,0.031208239495754242,0.43999999999999995,True,0.000
btc-updown-5m-1776106800,Down,True,Up,0.39,30.0,0.028645414859056473,-0.39,False,0.000
