slug,winner,entry_side,entry_elapsed,entry_price,entry_confidence,shares,peak_prob_up,peak_prob_down,correct,pnl,skipped,threshold
btc-updown-5m-1776234300,Down,Down,101.0,0.83,0.7877629101276398,5,0.38297873735427856,0.7877629101276398,True,0.85,False,0.75
btc-updown-5m-1776234600,Down,Up,205.0,0.71,0.7660098671913147,5,0.7660098671913147,0.60118168592453,False,-3.55,False,0.75
btc-updown-5m-1776234900,Up,Up,204.0,0.75,0.7660098671913147,5,0.7660098671913147,0.6822953224182129,True,1.25,False,0.75
btc-updown-5m-1776235200,Up,,,,,0,0.6043851375579834,0.60118168592453,,0.0,True,0.75
btc-updown-5m-1776235500,Down,Down,207.0,0.82,0.7877629101276398,5,0.6043851375579834,0.7877629101276398,True,0.9,False,0.75
btc-updown-5m-1776235800,Down,Down,68.0,0.8,0.7877629101276398,5,0.39881831407546997,0.7877629101276398,True,1.0,False,0.75
btc-updown-5m-1776236100,Down,Down,106.0,0.8,0.7877629101276398,5,0.4280117452144623,0.7877629101276398,True,1.0,False,0.75
btc-updown-5m-1776236400,Up,Up,226.0,0.75,0.7660098671913147,5,0.7660098671913147,0.6822953224182129,True,1.25,False,0.75
btc-updown-5m-1776236700,Down,Down,123.0,0.8,0.7877629101276398,5,0.4441602826118469,0.7877629101276398,True,1.0,False,0.75
btc-updown-5m-1776237000,Up,Up,60.0,0.83,0.7660098671913147,5,0.7660098671913147,0.2339901328086853,True,0.85,False,0.75
btc-updown-5m-1776237300,Down,Down,68.0,0.8,0.7877629101276398,5,0.32573288679122925,0.7877629101276398,True,1.0,False,0.75
btc-updown-5m-1776237600,Up,Up,93.0,0.77,0.7660098671913147,5,0.7660098671913147,0.3956148624420166,True,1.15,False,0.75
btc-updown-5m-1776237900,Up,Up,118.0,0.76,0.7660098671913147,5,0.7660098671913147,0.60118168592453,True,1.2,False,0.75
