slug,open_epoch,close_epoch,btc_open,btc_close,winner,entry_made,entry_elapsed_sec,entry_side,entry_price,entry_shares,entry_prob_up,entry_confidence,correct,pnl,recorded_at
btc-updown-5m-1776570000,1776570000,1776570300,75597.07,75629.4,up,false,,,,,,,,0,2026-04-19 03:40:00.460027+00
btc-updown-5m-1776570300,1776570300,1776570600,75629.4,75653.28,up,false,,,,,,,,0,2026-04-19 03:45:00.757607+00
btc-updown-5m-1776570600,1776570600,1776570900,75652.75,75642.38,down,true,156.47859621048,down,0.88,10,0.0496894419193268,0.950310558080673,true,1.2,2026-04-19 03:50:00.444278+00
btc-updown-5m-1776570900,1776570900,1776571200,75642.38,75550.17,down,true,104.535052061081,down,0.88,10,0.0898876413702965,0.910112358629704,true,1.2,2026-04-19 03:55:00.488324+00
btc-updown-5m-1776571200,1776571200,1776571500,75541.7,75626.61,up,true,175.038197994232,up,0.89,10,0.940850257873535,0.940850257873535,true,1.1,2026-04-19 04:00:00.512289+00
btc-updown-5m-1776571500,1776571500,1776571800,75623.43,75633.72,up,true,220.034670352936,up,0.95,10,0.933333337306976,0.933333337306976,true,0.5,2026-04-19 04:05:00.560969+00
btc-updown-5m-1776571800,1776571800,1776572100,75632.76,75728.36,up,true,72.8324222564697,up,0.83,10,0.93478262424469,0.93478262424469,true,1.7,2026-04-19 04:10:00.484537+00
btc-updown-5m-1776572100,1776572100,1776572400,75728.16,75738.73,up,true,187.282498836517,up,0.9,10,0.933333337306976,0.933333337306976,true,1,2026-04-19 04:15:00.541641+00
btc-updown-5m-1776572400,1776572400,1776572700,75750.88,75739.66,down,false,,,,,,,,0,2026-04-19 04:20:00.580901+00
btc-updown-5m-1776572700,1776572700,1776573000,75739.66,75709.11,down,true,172.027522563934,down,0.93,10,0.0496894419193268,0.950310558080673,true,0.7,2026-04-19 04:25:00.628833+00
btc-updown-5m-1776573000,1776573000,1776573300,75709.11,75642.4,down,true,83.2126476764679,down,0.91,10,0.0599999986588955,0.940000001341105,true,0.9,2026-04-19 04:30:00.490176+00
btc-updown-5m-1776573300,1776573300,1776573600,75642.38,75647.07,up,false,,,,,,,,0,2026-04-19 04:35:00.451439+00
btc-updown-5m-1776573600,1776573600,1776573900,75646.73,75566.62,down,true,60.2043325901031,down,0.98,10,0.0203735139220953,0.979626486077905,true,0.2,2026-04-19 04:40:00.493554+00
btc-updown-5m-1776573900,1776573900,1776574200,75561.47,75655.06,up,true,226.32684469223,up,0.94,10,0.940850257873535,0.940850257873535,true,0.6,2026-04-19 04:45:00.481396+00
btc-updown-5m-1776574200,1776574200,1776574500,75663.27,75674.13,up,true,106.089326858521,up,0.86,10,0.940850257873535,0.940850257873535,true,1.4,2026-04-19 04:50:00.634365+00
btc-updown-5m-1776574500,1776574500,1776574800,75682.87,75685.73,up,false,,,,,,,,0,2026-04-19 04:55:00.545336+00
btc-updown-5m-1776574800,1776574800,1776575100,75692.64,75572.02,down,true,153.938016414642,down,0.97,10,0.0487804897129536,0.951219510287046,true,0.3,2026-04-19 05:00:00.479815+00
btc-updown-5m-1776575100,1776575100,1776575400,75572.02,75576.63,up,false,,,,,,,,0,2026-04-19 05:05:00.469249+00
btc-updown-5m-1776575400,1776575400,1776575700,75576.4,75582.58,up,false,,,,,,,,0,2026-04-19 05:10:00.480922+00
btc-updown-5m-1776575700,1776575700,1776576000,75582.58,75582.1,down,false,,,,,,,,0,2026-04-19 05:15:00.492695+00
btc-updown-5m-1776576000,1776576000,1776576300,75582.1,75588.36,up,false,,,,,,,,0,2026-04-19 05:20:00.495387+00
btc-updown-5m-1776576300,1776576300,1776576600,75588.36,75586.76,down,false,,,,,,,,0,2026-04-19 05:25:00.476179+00
btc-updown-5m-1776576600,1776576600,1776576900,75586.76,75680.08,up,true,60.1028671264648,up,0.93,10,1,1,true,0.7,2026-04-19 05:30:00.485425+00
btc-updown-5m-1776576900,1776576900,1776577200,75680.08,75660.92,down,true,204.872428894043,down,0.87,10,0.0898876413702965,0.910112358629704,true,1.3,2026-04-19 05:35:00.632666+00
