timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price
1775853614.292,14.292,0.48,0.49,0.51,0.52,0.01,0.01,73097.59
1775853614.712,14.712,0.48,0.49,0.51,0.54,0.01,0.03,73097.71
1775853615.092,15.092,0.48,0.49,0.51,0.54,0.01,0.03,73097.71
1775853615.607,15.607,0.46,0.49,0.51,0.52,0.03,0.01,73097.87
1775853615.982,15.982,0.45,0.46,0.51,0.55,0.01,0.04,73097.87
1775853616.47,16.47,0.45,0.46,0.54,0.55,0.01,0.01,73097.21
1775853616.892,16.892,0.45,0.46,0.54,0.55,0.01,0.01,73097.21
1775853617.26,17.26,0.45,0.46,0.54,0.55,0.01,0.01,73096.47
1775853617.723,17.723,0.45,0.46,0.54,0.55,0.01,0.01,73096.47
1775853618.186,18.186,0.45,0.46,0.54,0.55,0.01,0.01,73094.35
1775853618.673,18.673,0.45,0.46,0.54,0.55,0.01,0.01,73094.35
1775853619.125,19.125,0.45,0.46,0.54,0.55,0.01,0.01,73092.05
1775853619.513,19.513,0.45,0.5,0.54,0.55,0.05,0.01,73092.05
1775853619.889,19.889,0.47,0.48,0.52,0.53,0.01,0.01,73092.05
1775853620.47,20.47,0.47,0.48,0.52,0.53,0.01,0.01,73091.99
1775853620.856,20.856,0.58,0.6,0.41,0.42,0.02,0.01,73091.99
1775853621.24,21.24,0.6,0.61,0.39,0.4,0.01,0.01,73092.05
1775853621.613,21.613,0.6,0.61,0.39,0.4,0.01,0.01,73092.05
1775853621.95,21.95,0.62,0.63,0.37,0.38,0.01,0.01,73092.05
1775853622.287,22.287,0.63,0.64,0.36,0.37,0.01,0.01,73106.57
1775853622.883,22.883,0.63,0.64,0.36,0.37,0.01,0.01,73106.57
1775853623.239,23.239,0.63,0.64,0.36,0.37,0.01,0.01,73118.57
1775853623.73,23.73,0.63,0.64,0.36,0.37,0.01,0.01,73118.57
1775853624.073,24.073,0.63,0.64,0.36,0.37,0.01,0.01,73118.57
1775853624.441,24.441,0.64,0.65,0.35,0.36,0.01,0.01,73121.42
1775853624.811,24.811,0.64,0.65,0.35,0.36,0.01,0.01,73121.42
1775853625.206,25.206,0.64,0.65,0.35,0.36,0.01,0.01,73121.42
1775853625.669,25.669,0.64,0.65,0.35,0.37,0.01,0.02,73120.92
1775853626.065,26.065,0.64,0.65,0.35,0.36,0.01,0.01,73120.92
1775853626.623,26.623,0.64,0.65,0.35,0.36,0.01,0.01,73121.26
1775853627.15,27.15,0.64,0.65,0.35,0.36,0.01,0.01,73121.26
1775853627.798,27.798,0.64,0.65,0.35,0.36,0.01,0.01,73121.71
1775853628.272,28.272,0.63,0.65,0.35,0.36,0.02,0.01,73121.71
1775853628.772,28.772,0.63,0.64,0.36,0.37,0.01,0.01,73121.73
1775853629.443,29.443,0.63,0.64,0.36,0.37,0.01,0.01,73121.73
